App,NumThreads,NumElements,Time,NumIterations,RunType
CacheAccLatency,0,32,1.75,1000,0
CacheAccLatency,0,32,1.45833,1000,0
CacheAccLatency,0,32,1.75,1000,0
CacheAccLatency,0,64,1.75,1000,0
CacheAccLatency,0,512,1.45833,1000,0
CacheAccLatency,0,1024,1.75,1000,0
CacheAccLatency,0,1600,2.04167,1000,0
CacheAccLatency,0,2048,1.75,1000,0
CacheAccLatency,0,2208,1.75,1000,0
CacheAccLatency,0,2368,1.75,1000,0
CacheAccLatency,0,2528,1.75,1000,0
CacheAccLatency,0,2816,1.75,1000,0
CacheAccLatency,0,3072,1.75,1000,0
CacheAccLatency,0,3424,2.04167,1000,0
CacheAccLatency,0,3808,2.04167,1000,0
CacheAccLatency,0,4192,2.33333,1000,0
CacheAccLatency,0,5024,2.33333,1000,0
CacheAccLatency,0,6016,2.91667,1000,0
CacheAccLatency,0,7008,3.20833,1000,0
CacheAccLatency,0,8192,3.79167,1000,0
CacheAccLatency,0,9024,4.08333,1000,0
CacheAccLatency,0,9504,4.08333,1000,0
CacheAccLatency,0,10016,4.08333,1000,0
CacheAccLatency,0,10528,5.25,1000,0
CacheAccLatency,0,11008,4.66667,1000,0
CacheAccLatency,0,12000,5.83333,1000,0
CacheAccLatency,0,14016,8.75,1000,0
CacheAccLatency,0,16384,9.33333,1000,0
CacheAccLatency,0,18016,9.91667,1000,0
CacheAccLatency,0,20000,11.375,1000,0
CacheAccLatency,0,22016,12.5417,1000,0
CacheAccLatency,0,24576,12.25,1000,0
CacheAccLatency,0,29696,14.875,1000,0
CacheAccLatency,0,32768,14.5833,1000,0
CacheAccLatency,0,35840,16.0417,1000,0
CacheAccLatency,0,37024,15.75,1000,0
CacheAccLatency,0,40000,16.3333,1000,0
CacheAccLatency,0,45024,15.4583,1000,0
CacheAccLatency,0,50112,16.9167,1000,0
CacheAccLatency,0,55008,16.0417,1000,0
CacheAccLatency,0,60000,16.0417,1000,0
CacheAccLatency,0,62016,15.4583,1000,0
CacheAccLatency,0,65536,16.3333,1000,0
CacheAccLatency,0,68000,15.75,1000,0
CacheAccLatency,0,70016,16.3333,1000,0
CacheAccLatency,0,72000,21.875,1000,0
CacheAccLatency,0,75104,27.4167,1000,0
CacheAccLatency,0,78016,27.125,1000,0
CacheAccLatency,0,80000,28,1000,0
CacheAccLatency,0,83008,30.625,1000,0
CacheAccLatency,0,85024,23.9167,1000,0
CacheAccLatency,0,88000,25.0833,1000,0
CacheAccLatency,0,90016,30.0417,1000,0
CacheAccLatency,0,93024,24.7917,1000,0
CacheAccLatency,0,95008,26.25,1000,0
CacheAccLatency,0,98016,24.5,1000,0
CacheAccLatency,0,100000,29.1667,1000,0
CacheAccLatency,0,110016,23.625,1000,0
CacheAccLatency,0,120000,24.5,1000,0
CacheAccLatency,0,131072,26.5417,1000,0
CacheAccLatency,0,160128,28.5833,1000,0
CacheAccLatency,0,190112,32.6667,1000,0
CacheAccLatency,0,229376,37.0417,1000,0
CacheAccLatency,0,262144,46.6667,1000,0
CacheAccLatency,0,300128,53.6667,1000,0
CacheAccLatency,0,400128,59.7917,1000,0
CacheAccLatency,0,450016,54.25,1000,0
CacheAccLatency,0,500128,74.375,1000,0
CacheAccLatency,0,524288,71.75,1000,0
CacheAccLatency,0,524288,72.9167,1000,0
CacheAccLatency,0,524320,79.3333,1000,0
CacheAccLatency,0,600128,81.375,1000,0
CacheAccLatency,0,670016,81.375,1000,0
CacheAccLatency,0,750112,80.7917,1000,0
CacheAccLatency,0,786432,82.25,1000,0
CacheAccLatency,0,850016,84.5833,1000,0
CacheAccLatency,0,917504,89.5417,1000,0
CacheAccLatency,0,996160,82.8333,1000,0
CacheAccLatency,0,1048576,88.0833,1000,0
CacheAccLatency,0,1101024,90.7083,1000,0
CacheAccLatency,0,1572864,91.875,1000,0
CacheAccLatency,0,1966080,92.4583,1000,0
CacheAccLatency,0,2097152,91,1000,0
CacheAccLatency,0,2228224,92.75,1000,0
CacheAccLatency,0,2400000,95.6667,1000,0
CacheAccLatency,0,2621440,93.0417,1000,0
CacheAccLatency,0,3145728,94.2083,1000,0
CacheAccLatency,0,4194304,95.9583,1000,0
CacheAccLatency,0,6000000,94.5,1000,0
CacheAccLatency,0,8388608,97.7083,1000,0
CacheAccLatency,0,10000000,92.75,1000,0
CacheAccLatency,0,13000000,96.25,1000,0
CacheAccLatency,0,16777216,96.25,1000,0
CacheAccLatency,0,20000000,98,1000,0
CacheAccLatency,0,25000000,97.125,1000,0
CacheAccLatency,0,33554432,94.5,1000,0
CacheAccLatency,0,40000000,98.2917,1000,0
CacheAccLatency,0,45000000,98,1000,0
CacheAccLatency,0,50000000,98.875,1000,0
CacheAccLatency,0,67108864,96.25,1000,0
