App,NumThreads,NumElements,L1DCacheOverall,L1DCacheMiss,L2CacheOverall,L2CacheMiss,L3CacheOverall,L3CacheMiss,NumIterations,RunType
CacheMisses,0,32,1.003,0.003,0.014,0.005,0.009,0,1000,0
CacheMisses,0,32,1.003,0.001,0.006,0,0,0,1000,0
CacheMisses,0,32,1.003,0.002,0.007,0.001,0.002,0.001,1000,0
CacheMisses,0,64,1.003,0.002,0.006,0.002,0.006,0,1000,0
CacheMisses,0,512,1.003,0.02,0.043,0.004,0.019,0,1000,0
CacheMisses,0,1024,1.004,0.053,0.112,0.013,0.044,0,1000,0
CacheMisses,0,1600,1.003,0.07,0.144,0.013,0.059,0,1000,0
CacheMisses,0,2048,1.003,0.095,0.189,0.016,0.066,0,1000,0
CacheMisses,0,2208,1.003,0.095,0.193,0.012,0.079,0.001,1000,0
CacheMisses,0,2368,1.003,0.115,0.238,0.034,0.099,0,1000,0
CacheMisses,0,2528,1.003,0.153,0.309,0.036,0.106,0,1000,0
CacheMisses,0,2816,1.003,0.16,0.323,0.023,0.111,0,1000,0
CacheMisses,0,3072,1.003,0.184,0.371,0.044,0.15,0,1000,0
CacheMisses,0,3424,1.005,0.204,0.412,0.045,0.156,0,1000,0
CacheMisses,0,3808,1.003,0.245,0.493,0.096,0.222,0,1000,0
CacheMisses,0,4192,1.003,0.257,0.517,0.055,0.183,0,1000,0
CacheMisses,0,5024,1.003,0.365,0.732,0.108,0.294,0,1000,0
CacheMisses,0,6016,1.004,0.498,0.997,0.11,0.357,0,1000,0
CacheMisses,0,7008,1.003,0.646,1.293,0.144,0.461,0,1000,0
CacheMisses,0,8192,1.003,0.749,1.505,0.184,0.524,0,1000,0
CacheMisses,0,9024,1.004,0.789,1.583,0.245,0.621,0.002,1000,0
CacheMisses,0,9504,1.003,0.823,1.646,0.298,0.738,0,1000,0
CacheMisses,0,10016,1.003,0.84,1.683,0.333,0.783,0.002,1000,0
CacheMisses,0,10528,1.004,0.881,1.769,0.379,0.895,0,1000,0
CacheMisses,0,11008,1.004,0.903,1.815,0.403,0.938,0.002,1000,0
CacheMisses,0,12000,1.003,0.93,1.864,0.422,0.96,0,1000,0
CacheMisses,0,14016,1.003,0.978,1.96,0.604,1.286,0,1000,0
CacheMisses,0,16384,1.004,0.999,2.016,0.94,1.833,0.004,1000,0
CacheMisses,0,18016,1.003,1.002,2.006,0.883,1.689,0.001,1000,0
CacheMisses,0,20000,1.004,1.004,2.014,0.937,1.782,0.001,1000,0
CacheMisses,0,22016,1.004,0.994,2.009,0.962,1.874,0.001,1000,0
CacheMisses,0,24576,1.004,1.003,2.011,0.965,1.86,0,1000,0
CacheMisses,0,29696,1.004,1.003,2.007,0.997,1.9,0.001,1000,0
CacheMisses,0,32768,1.003,1.002,2.005,0.993,1.922,0,1000,0
CacheMisses,0,35840,1.004,0.999,2.003,1.001,1.905,0.001,1000,0
CacheMisses,0,37024,1.004,1,2.007,0.997,1.932,0.001,1000,0
CacheMisses,0,40000,1.004,1.002,2.01,1.002,1.906,0,1000,0
CacheMisses,0,45024,1.004,1.001,2.003,0.989,1.884,0.007,1000,0
CacheMisses,0,50112,1.004,0.997,1.998,0.996,1.887,0.001,1000,0
CacheMisses,0,55008,1.004,1.002,2.013,1.001,1.915,0.003,1000,0
CacheMisses,0,60000,1.004,1,2.012,1.004,1.909,0,1000,0
CacheMisses,0,62016,1.004,1.003,2.008,1.002,1.918,0,1000,0
CacheMisses,0,65536,1.004,1.002,2.005,1.001,1.932,0.001,1000,0
CacheMisses,0,68000,1.004,1.002,2.013,1.002,1.937,0.002,1000,0
CacheMisses,0,70016,1.004,0.998,2.01,1.001,1.923,0.009,1000,0
CacheMisses,0,72000,1.005,1.004,2.012,1.003,1.924,0.002,1000,0
CacheMisses,0,75104,1.004,1.002,2.011,1.004,1.925,0.002,1000,0
CacheMisses,0,78016,1.004,1.003,2.012,1.004,1.923,0.004,1000,0
CacheMisses,0,80000,1.004,1.003,2.01,1.001,1.908,0.002,1000,0
CacheMisses,0,83008,1.004,1.002,2.007,1.003,1.915,0.007,1000,0
CacheMisses,0,85024,1.004,1.003,2.013,1.004,1.924,0.001,1000,0
CacheMisses,0,88000,1.004,1.001,2.011,0.995,1.899,0.003,1000,0
CacheMisses,0,90016,1.004,1.001,2.004,0.995,1.928,0.004,1000,0
CacheMisses,0,93024,1.004,1.001,2.006,1,1.898,0.003,1000,0
CacheMisses,0,95008,1.004,1.002,2.009,1.002,1.921,0.004,1000,0
CacheMisses,0,98016,1.004,1.003,2.012,1.001,1.914,0.004,1000,0
CacheMisses,0,100000,1.004,1.003,2.008,1.002,1.915,0.002,1000,0
CacheMisses,0,110016,1.004,1.002,2.013,1.004,1.951,0.003,1000,0
CacheMisses,0,120000,1.004,1.002,2.012,1.002,1.903,0.012,1000,0
CacheMisses,0,131072,1.004,1.003,2.011,1.004,1.931,0.016,1000,0
CacheMisses,0,160128,1.004,1.002,2.008,1.002,1.913,0.047,1000,0
CacheMisses,0,190112,1.004,1.002,2.01,1.004,1.912,0.035,1000,0
CacheMisses,0,229376,1.004,1.002,2.01,1.003,1.909,0.068,1000,0
CacheMisses,0,262144,1.004,1.003,2.017,1.004,1.921,0.186,1000,0
CacheMisses,0,300128,1.004,1.002,2.013,1.004,1.911,0.255,1000,0
CacheMisses,0,400128,1.004,1.002,2.015,1.003,1.916,0.395,1000,0
CacheMisses,0,450016,1.004,1.004,2.02,1.007,1.94,0.54,1000,0
CacheMisses,0,500128,1.004,1.004,2.023,1.005,1.914,0.758,1000,0
CacheMisses,0,524288,1.004,1.002,2.013,1.006,1.94,0.799,1000,0
CacheMisses,0,524288,1.004,1.001,2.011,1.003,1.905,0.783,1000,0
CacheMisses,0,524320,1.004,1.004,2.018,1.005,1.908,0.827,1000,0
CacheMisses,0,600128,1.004,1.003,2.022,1.006,1.933,0.885,1000,0
CacheMisses,0,670016,1.004,1.002,2.025,1.009,1.943,0.966,1000,0
CacheMisses,0,750112,1.004,1.002,2.015,1.003,1.923,0.965,1000,0
CacheMisses,0,786432,1.003,1.001,2.014,1.004,1.935,0.878,1000,0
CacheMisses,0,850016,1.004,1.002,2.014,1.003,1.912,0.797,1000,0
CacheMisses,0,917504,1.004,1.003,2.019,1.005,1.941,0.873,1000,0
CacheMisses,0,996160,1.004,1.004,2.019,1.004,1.927,0.895,1000,0
CacheMisses,0,1048576,1.004,1.002,2.017,1.004,1.932,0.892,1000,0
CacheMisses,0,1101024,1.004,1.002,2.011,1.003,1.919,0.861,1000,0
CacheMisses,0,1572864,1.004,1.002,2.016,1.004,1.919,0.971,1000,0
CacheMisses,0,1966080,1.004,1.002,2.021,1.006,1.929,0.971,1000,0
CacheMisses,0,2097152,1.003,1.003,2.015,1.002,1.925,0.967,1000,0
CacheMisses,0,2228224,1.004,1.001,2.015,1.005,1.938,0.965,1000,0
